,image_id,identity,path,split,dataset
0,3958,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300004_20190130062959_3958.JPG,train,fca_base
1,3959,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300005_20190130063000_3959.JPG,train,fca_base
2,3204,fca_base_matt,fca_base/collared-ignore/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300006_20190130063001_3204.JPG,train,fca_base
3,3960,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300007_20190130063007_3960.JPG,train,fca_base
4,3961,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300011_20190130063016_3961.JPG,train,fca_base
5,3962,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300012_20190130063017_3962.JPG,train,fca_base
6,3963,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300013_20190130063021_3963.JPG,train,fca_base
8,3967,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300017_20190130063027_3967.JPG,train,fca_base
10,3969,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300019_20190130063032_3969.JPG,train,fca_base
11,3970,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300020_20190130063033_3970.JPG,train,fca_base
12,3971,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300021_20190130063034_3971.JPG,train,fca_base
13,3972,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300022_20190130063041_3972.JPG,train,fca_base
14,3973,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300023_20190130063042_3973.JPG,train,fca_base
15,3974,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300024_20190130063042_3974.JPG,train,fca_base
16,3978,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300028_20190130063357_3978.JPG,train,fca_base
18,3981,fca_base_matt,fca_base/collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300031_20190130063407_3981.JPG,train,fca_base
