,image_id,identity,path,split
0,3958,matt,20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300004_20190130062959_3958.JPG,train
1,3150,matt,20190801_kW8J_AucklandIsland_A2_3_41_SD15_20190304_02200155_20190220211504_3150.JPG,train
2,3915,matt,20190801_3vNi_AucklandIsland_B2_5_35_SD47_20190227_02230038_20190223054208_3915.JPG,train
3,2356,nuclei,20190801_nYPb_AucklandIsland_B2_2_1_SD21_20190302_02240328_20190224215114_2356.JPG,train
4,1581,linja,20190801_g7RF_AucklandIsland_C1_6_45_SD125_20190220_02170280_20190217140334_1581.JPG,train
5,749,bethilda,20190801_RmM3_AucklandIsland_MB2_19_SD128_20190219_02140135_20190214153822_749.JPG,train
6,433,taki,20190801_y7TW_AucklandIsland_D2_6_26_SD63_20190211_02040036_20190204184541_433.JPG,train
7,2040,linja,20190801_nYPb_AucklandIsland_B2_2_1_SD21_20190302_02230044_20190223025609_2040.JPG,train
8,2684,bethilda,20190801_4v26_AucklandIsland_A1_2_3_SD98_20190220_100EK113_02110781_20190211203927_2684.JPG,train
9,3092,matt,20190801_kW8J_AucklandIsland_A2_3_41_SD15_20190304_02200058_20190220100943_3092.JPG,train
10,2587,bethilda,20190801_4v26_AucklandIsland_A1_2_3_SD98_20190220_100EK113_02110612_20190211165808_2587.JPG,test
11,2608,bethilda,20190801_4v26_AucklandIsland_A1_2_3_SD98_20190220_100EK113_02110680_20190211171354_2608.JPG,train
12,3230,matt,20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300247_20190130070248_3230.JPG,train
13,167,bethilda,20190801_4v26_AucklandIsland_A1_2_3_SD98_20190220_100EK113_02100195_20190210161945_167.JPG,train
14,430,taki,20190801_y7TW_AucklandIsland_D2_6_26_SD63_20190211_02040033_20190204184537_430.JPG,train
15,2513,bethilda,20190801_4v26_AucklandIsland_A1_2_3_SD98_20190220_100EK113_02110421_20190211031611_2513.JPG,test
16,102,bethilda,20190801_4v26_AucklandIsland_A1_2_3_SD98_20190220_100EK113_02100130_20190210160326_102.JPG,train
17,1944,nuclei,20190801_6VMy_AucklandIsland_D2_3_M_SD90_20190222_02200210_20190220003704_1944.JPG,train
18,671,bethilda,20190801_4v26_AucklandIsland_A1_2_3_SD98_20190220_100EK113_02120858_20190212052054_671.JPG,train
19,663,linja,20190801_vqQ4_AucklandIsland_B2_2_1_SD117_20190215_02120445_20190212044737_cat_663.JPG,train
20,1093,linja,20190801_iLT8_AucklandIsland_B2_2_1_SD111_20190222_02160301_20190216060728_1093.JPG,train
21,2347,nuclei,20190801_nYPb_AucklandIsland_B2_2_1_SD21_20190302_02240319_20190224215050_2347.JPG,train
22,3153,matt,20190801_kW8J_AucklandIsland_A2_3_41_SD15_20190304_02200158_20190220211510_3153.JPG,train
23,2516,bethilda,20190801_4v26_AucklandIsland_A1_2_3_SD98_20190220_100EK113_02110424_20190211031854_2516.JPG,train
24,119,bethilda,20190801_4v26_AucklandIsland_A1_2_3_SD98_20190220_100EK113_02100147_20190210160607_119.JPG,train
25,1410,linja,20190801_g7RF_AucklandIsland_C1_6_45_SD125_20190220_02160164_20190216190920_1410.JPG,train
26,3993,matt,20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300059_20190130063506_3993.JPG,train
27,463,taki,20190801_y7TW_AucklandIsland_D2_6_26_SD63_20190211_02040066_20190204184625_463.JPG,train
28,3125,matt,20190801_kW8J_AucklandIsland_A2_3_41_SD15_20190304_02200093_20190220101122_3125.JPG,test
29,2783,matt,20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300084_20190130063549_2783.JPG,train
30,3827,matt,20190801_38Ui_AucklandIsland_B1_5_25_SD127_20190220_02180275_20190218225649_3827.JPG,test
31,330,bethilda,20190801_4v26_AucklandIsland_A1_2_3_SD98_20190220_100EK113_02110545_20190211130117_330.JPG,train
32,1596,linja,20190801_iLT8_AucklandIsland_B2_2_1_SD111_20190222_02170538_20190217213452_1596.JPG,train
33,3962,matt,20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300012_20190130063017_3962.JPG,train
34,213,bethilda,20190801_4v26_AucklandIsland_A1_2_3_SD98_20190220_100EK113_02100241_20190210162325_213.JPG,train
35,2629,bethilda,20190801_4v26_AucklandIsland_A1_2_3_SD98_20190220_100EK113_02110715_20190211171646_2629.JPG,train
36,427,taki,20190801_y7TW_AucklandIsland_D2_6_26_SD63_20190211_02040030_20190204184533_427.JPG,train
37,3138,matt,20190801_kW8J_AucklandIsland_A2_3_41_SD15_20190304_02200106_20190220101154_3138.JPG,train
38,1468,linja,20190801_g7RF_AucklandIsland_C1_6_45_SD125_20190220_02160172_20190216231937_1468.JPG,train
39,242,bethilda,20190801_4v26_AucklandIsland_A1_2_3_SD98_20190220_100EK113_02100313_20190210173052_242.JPG,train
40,4129,matt,20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_02020544_20190202043913_4129.JPG,train
41,1324,linja,20190801_g7RF_AucklandIsland_C1_6_45_SD125_20190220_02160078_20190216190026_1324.JPG,train
42,966,linja,20190801_iLT8_AucklandIsland_B2_2_1_SD111_20190222_02150172_20190215225440_966.JPG,train
43,1742,nuclei,20190801_bN2A_AucklandIsland__D2_1_40_SD108_20190301_02190038_20190219221157_1742.JPG,test
44,1285,linja,20190801_g7RF_AucklandIsland_C1_6_45_SD125_20190220_02160039_20190216185754_1285.JPG,train
45,1358,linja,20190801_g7RF_AucklandIsland_C1_6_45_SD125_20190220_02160112_20190216190228_1358.JPG,train
46,2654,bethilda,20190801_4v26_AucklandIsland_A1_2_3_SD98_20190220_100EK113_02110751_20190211203820_2654.JPG,train
47,2475,bethilda,20190801_4v26_AucklandIsland_A1_2_3_SD98_20190220_100EK113_02100327_20190210173148_2475.JPG,train
48,363,bethilda,20190801_4v26_AucklandIsland_A1_2_3_SD98_20190220_100EK113_02110624_20190211165850_363.JPG,train
49,2922,matt,20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_02020364_20190202043115_2922.JPG,train
50,3104,matt,20190801_kW8J_AucklandIsland_A2_3_41_SD15_20190304_02200071_20190220101011_3104.JPG,train
51,1456,linja,20190801_iLT8_AucklandIsland_B2_2_1_SD111_20190222_02160513_20190216222229_1456.JPG,train
52,2632,bethilda,20190801_4v26_AucklandIsland_A1_2_3_SD98_20190220_100EK113_02110718_20190211171652_2632.JPG,train
53,2338,nuclei,20190801_nYPb_AucklandIsland_B2_2_1_SD21_20190302_02240310_20190224215028_2338.JPG,test
54,3813,matt,20190801_fI6t_AucklandIsland_B2_5_35_SD41_20190220_02180463_20190218070604_3813.JPG,train
55,12,bethilda,20190801_4v26_AucklandIsland_A1_2_3_SD98_20190220_100EK113_02100032_20190210155308_12.JPG,train
56,2150,linja,20190801_nYPb_AucklandIsland_B2_2_1_SD21_20190302_02230154_20190223030852_2150.JPG,train
57,1578,linja,20190801_g7RF_AucklandIsland_C1_6_45_SD125_20190220_02170277_20190217140304_1578.JPG,train
58,350,bethilda,20190801_4v26_AucklandIsland_A1_2_3_SD98_20190220_100EK113_02110579_20190211130325_350.JPG,train
59,981,linja,20190801_iLT8_AucklandIsland_B2_2_1_SD111_20190222_02150187_20190215225532_981.JPG,train
60,175,bethilda,20190801_4v26_AucklandIsland_A1_2_3_SD98_20190220_100EK113_02100203_20190210162116_175.JPG,train
61,1440,linja,20190801_iLT8_AucklandIsland_B2_2_1_SD111_20190222_02160497_20190216222132_1440.JPG,train
62,75,bethilda,20190801_4v26_AucklandIsland_A1_2_3_SD98_20190220_100EK113_02100103_20190210160137_75.JPG,test
63,294,bethilda,20190801_4v26_AucklandIsland_A1_2_3_SD98_20190220_100EK113_02110456_20190211053826_294.JPG,train
